Headline/Title,City,Country,Industry,Roles,Companies_Worked_At,Total_Years_Experience,Educational_Institutions,Qualifications,Skills,Certifications,Projects,Candidate_Profile
data scientist credit risk specialist enthusiast master computer science student passionate data driven software developing solution,city johannesburg gauteng south africa,south africa,unknown,mathematics tutor data science assistance tutor data scientist graduate assistant tutor,south african agency science technology advancement nrf saasta bupa munyetla bopa monyetla crypto gaint fnb south africa university johannesburg,8,ikusasa comprehensive school ikusasa comprehensive school university johannesburg university johannesburg university johannesburg ikusasa comprehensive school university johannesburg university johannesburg,higher national degree physical science higher national diploma physical science bachelor science mathematics computer science bsc honour computer science master degree computer science high school science bsc mathematical science mathematics computer science bschons computer science artificial intelligence,unknown,complete web development bootcamp fundamental deep learning introduction large language model llm python credit risk modeling python credit risk modeling python artificial intelligence ultimate beginner guide genetic algorithm python data science course complete data science bootcamp artificial intelligence langchain develop llm powered application langchain,continuous integration delivery new system development financial service systematic literature review api gateway design pattern optimizing scorecard feature genetic algorithm advanced technique designed identify predictive variable credit scoring model mental health suicide ideation social medium lstm rnn evolutionary computation solving delivery problem genetic algorithm multi modal image retrieval system particle swarm optimization solving delivery problem knapsack origami zombie game immunological algorithm ai algorithm problem multivariate power consumption deep learning,data scientist credit risk specialist enthusiast master computer science student passionate data driven software developing solution mathematics tutor data science assistance tutor data scientist graduate assistant tutor south african agency science technology advancement nrf saasta bupa munyetla bopa monyetla crypto gaint fnb south africa university johannesburg ikusasa comprehensive school ikusasa comprehensive school university johannesburg university johannesburg university johannesburg ikusasa comprehensive school university johannesburg university johannesburg higher national degree physical science higher national diploma physical science bachelor science mathematics computer science bsc honour computer science master degree computer science high school science bsc mathematical science mathematics computer science bschons computer science artificial intelligence unknown complete web development bootcamp fundamental deep learning introduction large language model llm python credit risk modeling python credit risk modeling python artificial intelligence ultimate beginner guide genetic algorithm python data science course complete data science bootcamp artificial intelligence langchain develop llm powered application langchain continuous integration delivery new system development financial service systematic literature review api gateway design pattern optimizing scorecard feature genetic algorithm advanced technique designed identify predictive variable credit scoring model mental health suicide ideation social medium lstm rnn evolutionary computation solving delivery problem genetic algorithm multi modal image retrieval system particle swarm optimization solving delivery problem knapsack origami zombie game immunological algorithm ai algorithm problem multivariate power consumption deep learning
data scientist discovery limited,johannesburg metropolitan area,south africa,mechanical industrial engineering,head external liaison vacation student student vacation academic advisor head member relation student intern vires unitatis editor student data scientist student assistant,pragma discovery limited operation research society south africa orssa eendrag men residence aat composite rhodes food group stellenbosch university koos bouwer consulting,11,stellenbosch university universiteit stellenbosch stellenbosch university stellenbosch university universiteit stellenbosch stellenbosch university bellville high school stellenbosch university universiteit stellenbosch,bachelor degree master engineering meng bachelor degree industrial engineering cum laude master engineering meng industrial engineering nsc bachelor degree industrial engineering,matlab latex optimization vba microsoft excel microsoft office machine learning agent based simulation process improvement industrial engineering adobe creative suite operation research data analysis writing microsoft word analysis problem solving anylogic analytical skill,cap expert certified analytics professional cap programming julia introduction julia getting thing done optimization julia mastering operation research,unknown,data scientist discovery limited head external liaison vacation student student vacation academic advisor head member relation student intern vires unitatis editor student data scientist student assistant pragma discovery limited operation research society south africa orssa eendrag men residence aat composite rhodes food group stellenbosch university koos bouwer consulting stellenbosch university universiteit stellenbosch stellenbosch university stellenbosch university universiteit stellenbosch stellenbosch university bellville high school stellenbosch university universiteit stellenbosch bachelor degree master engineering meng bachelor degree industrial engineering cum laude master engineering meng industrial engineering nsc bachelor degree industrial engineering matlab latex optimization vba microsoft excel microsoft office machine learning agent based simulation process improvement industrial engineering adobe creative suite operation research data analysis writing microsoft word analysis problem solving anylogic analytical skill cap expert certified analytics professional cap programming julia introduction julia getting thing done optimization julia mastering operation research unknown
senior clinical data scientist syneos health,johannesburg gauteng south africa,south africa,unknown,snr data lead senior clinical data scientist data manager,syneos health iqvia,13,midrand graduate institute,bachelor science biomedicine,unknown,unknown,unknown,senior clinical data scientist syneos health snr data lead senior clinical data scientist data manager syneos health iqvia midrand graduate institute bachelor science biomedicine unknown unknown unknown
senior data scientist driving business growth data strategy,city johannesburg gauteng south africa,south africa,unknown,assistant manager data science data scientist trainee geomatics officer pupil geomatics officer data scientist intern data scientist student intern data scientist senior data scientist,commission restitution land right explore software surveyor general argility fnb south africa african bank,13,university south africa universiteit van suid afrika university johannesburg university south africa universiteit van suid afrika,bsc honour operation research decision science bsc mathematical science computer science mathematical science bsc honour operation research decision science,unknown,readiness program geomatics officer certificate introduction python course data science certificate intro sql data science course navigate program,unknown,senior data scientist driving business growth data strategy assistant manager data science data scientist trainee geomatics officer pupil geomatics officer data scientist intern data scientist student intern data scientist senior data scientist commission restitution land right explore software surveyor general argility fnb south africa african bank university south africa universiteit van suid afrika university johannesburg university south africa universiteit van suid afrika bsc honour operation research decision science bsc mathematical science computer science mathematical science bsc honour operation research decision science unknown readiness program geomatics officer certificate introduction python course data science certificate intro sql data science course navigate program unknown
software manager software quality tester building scalable high quality software,city johannesburg gauteng south africa,south africa,medium production,english second language instructor digital analyst english second language teacher intern journalist english lecturer software manager flutter developer student mentor manager journalist full stack software developer social medium manager founder peer counselor student volunteer data scientist lecturer social medium manager manager software developer,codsoft yeungjin university amaris consulti newskoop pty ltd heart center self employed nwu student bridge lab amaris consulting north west university noordwes universiteit daegu gyeongbuk english village amaris tshepong care center bridg lab bridge devs,12,richfield north west university noordwes universiteit north west university noordwes universiteit north west university noordwes universiteit sedibeng college botebo tsebo secondary school sedibeng college north west university noordwes universiteit,bachelor science information technology bachelor art communication bachelor degree communication bachelor degree communication psychology business management marketing related support service matric business management marketing related support service bachelor degree psychology language,unknown,shecodes basic computer literacy prepare data exploration intro data science foundation data data everywhere ask question make data driven decision mckinsey forward program woman code group mentorship program process data dirty clean introduction github share data art visualization kpmg data analytics job simulation google data analytics professional certificate,pantrypal find meal foryour ingredient mood tracker,software manager software quality tester building scalable high quality software english second language instructor digital analyst english second language teacher intern journalist english lecturer software manager flutter developer student mentor manager journalist full stack software developer social medium manager founder peer counselor student volunteer data scientist lecturer social medium manager manager software developer codsoft yeungjin university amaris consulti newskoop pty ltd heart center self employed nwu student bridge lab amaris consulting north west university noordwes universiteit daegu gyeongbuk english village amaris tshepong care center bridg lab bridge devs richfield north west university noordwes universiteit north west university noordwes universiteit north west university noordwes universiteit sedibeng college botebo tsebo secondary school sedibeng college north west university noordwes universiteit bachelor science information technology bachelor art communication bachelor degree communication bachelor degree communication psychology business management marketing related support service matric business management marketing related support service bachelor degree psychology language unknown shecodes basic computer literacy prepare data exploration intro data science foundation data data everywhere ask question make data driven decision mckinsey forward program woman code group mentorship program process data dirty clean introduction github share data art visualization kpmg data analytics job simulation google data analytics professional certificate pantrypal find meal foryour ingredient mood tracker
unknown,city johannesburg gauteng south africa,south africa,computer software,chief data officer founder managing director senior researcher founder managing director electronic engineer founder managing director founder research group leader founder chief data scientist founder mathematics tutor lab administrator head research development senior data scientist,mybucks repair pty ltd dent tech solution pty ltd house design print studio bizpages urlfo aculocity university pretoria universiteit van pretoria urlfo com silicogenesis learning machine council scientific industrial research csir,25,university pretoria universiteit van pretoria university pretoria universiteit van pretoria university pretoria universiteit van pretoria university pretoria universiteit van pretoria,bachelor science computational mathematics cum laude bachelor engineering eng computer engineering cum laude bachelor engineering eng hons computer engineering cum laude master engineering computer engineering cum laude,simulation matlab c++ programming planning artificial intelligence latex mathematical modeling uml software development remote sensing vba technology management photogrammetry statistic engineering management requirement analysis electronics radar business strategy program management python machine learning image processing statistical modeling research system design net system engineering system analysis computer science enterprise architecture data analysis algorithm engineering management linux software engineering analysis numerical analysis computer vision problem solving business analysis content management integration embedded system pattern recognition signal processing,unknown,unknown,unknown chief data officer founder managing director senior researcher founder managing director electronic engineer founder managing director founder research group leader founder chief data scientist founder mathematics tutor lab administrator head research development senior data scientist mybucks repair pty ltd dent tech solution pty ltd house design print studio bizpages urlfo aculocity university pretoria universiteit van pretoria urlfo com silicogenesis learning machine council scientific industrial research csir university pretoria universiteit van pretoria university pretoria universiteit van pretoria university pretoria universiteit van pretoria university pretoria universiteit van pretoria bachelor science computational mathematics cum laude bachelor engineering eng computer engineering cum laude bachelor engineering eng hons computer engineering cum laude master engineering computer engineering cum laude simulation matlab c++ programming planning artificial intelligence latex mathematical modeling uml software development remote sensing vba technology management photogrammetry statistic engineering management requirement analysis electronics radar business strategy program management python machine learning image processing statistical modeling research system design net system engineering system analysis computer science enterprise architecture data analysis algorithm engineering management linux software engineering analysis numerical analysis computer vision problem solving business analysis content management integration embedded system pattern recognition signal processing unknown unknown
technical lead elucidate phd candidate wit university,city johannesburg gauteng south africa,south africa,unknown,data consultant honour tutor honour student bsc student physic student representative master student technical lead full stack developer founder master head tutor instructor lecturer computer science master tutor intern founder data scientist,university witwatersrand unu wider united nation university world institute development economics research microsoft brighter future tuition elucidate mwr infosecurity educess,9,university witwatersrand university witwatersrand university witwatersrand curro aurora,bachelor science mathematics computer science honour computer science master science computer science,unknown,microsoft technology associate software development fundamental mta,unknown,technical lead elucidate phd candidate wit university data consultant honour tutor honour student bsc student physic student representative master student technical lead full stack developer founder master head tutor instructor lecturer computer science master tutor intern founder data scientist university witwatersrand unu wider united nation university world institute development economics research microsoft brighter future tuition elucidate mwr infosecurity educess university witwatersrand university witwatersrand university witwatersrand curro aurora bachelor science mathematics computer science honour computer science master science computer science unknown microsoft technology associate software development fundamental mta unknown
data scientist,city johannesburg gauteng south africa,south africa,unknown,stockroom assistant data science intern data analyst graduateship data science internship premium admin intern data scientist secondment data analyst vacation,sanlam sanlamsky air traffic navigation service edcon csir air traffic navigation service atns fnb south africa standard bank south africa,16,university kwazulu natal university pretoria universiteit van pretoria university phoenix,postgraduate degree data science bachelor mathematical statistic mathematics statistic,unknown,data science analytics career path certification first step learning web analytics python data science essential training part learning adobe report analytics power data analyst associate azure fundamental learning data science understanding basic power marketer data analytics business professional learning design thinking lead change organization marketing analytics presenting digital marketing data business analytics foundation descriptive exploratory explanatory analytics learning data governance learning data analytics statistic foundation online marketing foundation learning excel data analysis twelve myth data science bracketology club march madness learn data science agile marketing foundation data science foundation fundamental html essential training non technical skill effective data scientist,unknown,data scientist stockroom assistant data science intern data analyst graduateship data science internship premium admin intern data scientist secondment data analyst vacation sanlam sanlamsky air traffic navigation service edcon csir air traffic navigation service atns fnb south africa standard bank south africa university kwazulu natal university pretoria universiteit van pretoria university phoenix postgraduate degree data science bachelor mathematical statistic mathematics statistic unknown data science analytics career path certification first step learning web analytics python data science essential training part learning adobe report analytics power data analyst associate azure fundamental learning data science understanding basic power marketer data analytics business professional learning design thinking lead change organization marketing analytics presenting digital marketing data business analytics foundation descriptive exploratory explanatory analytics learning data governance learning data analytics statistic foundation online marketing foundation learning excel data analysis twelve myth data science bracketology club march madness learn data science agile marketing foundation data science foundation fundamental html essential training non technical skill effective data scientist unknown
executive head cvm prepaid base management,city johannesburg gauteng south africa,south africa,management consulting,data analyst executive head cvm prepaid base management engagement lead senior analyst data scientist consultant business analyst analyst,indatastry revenue science part cyest corporation vodacom business science corporation,11,university witwatersrand parktown boy high school university witwatersrand parktown boy high school,bachelor science honour applied mathematics bachelor science bsc mathematics computational applied mathematics,parallel programming matlab natural language processing latex mathematical modeling vba econometrics microsoft excel option pricing model microsoft office python parallel computing applied mathematics oracle sql developer monte carlo simulation mathematica data analysis sql tableau numerical analysis delphi financial modeling powerbi,scotwork advancing negotiation skill,implementation cyest modeller qerent modelling software multichoice south africa,executive head cvm prepaid base management data analyst executive head cvm prepaid base management engagement lead senior analyst data scientist consultant business analyst analyst indatastry revenue science part cyest corporation vodacom business science corporation university witwatersrand parktown boy high school university witwatersrand parktown boy high school bachelor science honour applied mathematics bachelor science bsc mathematics computational applied mathematics parallel programming matlab natural language processing latex mathematical modeling vba econometrics microsoft excel option pricing model microsoft office python parallel computing applied mathematics oracle sql developer monte carlo simulation mathematica data analysis sql tableau numerical analysis delphi financial modeling powerbi scotwork advancing negotiation skill implementation cyest modeller qerent modelling software multichoice south africa
highly skilled experienced senior data scientist strong background statistical analysis research management,city johannesburg gauteng south africa,south africa,research,analysis manager manager data science global delivery design centre senior data scientist retail consumer insight senior manager gddc senior research analyst senior manager product enhancement snr data scientist channel performance client service manager measurement science lead senior manager snr data scientist channel performance retail consumer insight,newsclip medium monitoring nielsen nielsen company ipsos nielsen company,17,unisa monument high monument high unisa,bsc statistic psychology mathematics bsc grade general bsc mathematics statistic bsc,quantitative research presentation skill research design competitive analysis spotfire statistic business strategy programming microsoft excel competitive intelligence medium monitoring statistical modeling operation management market research market analysis questionnaire design customer insight consumer behaviour marketing research hand training primary research management data analysis microsoft word analytics advertising research leadership management microsoft powerpoint market intelligence analysis segmentation focus group management quantitative analytics qualitative research predictive modeling predictive analytics analytical skill survey design,line trainer importing data part introduction python introduction lean six sigma white belt certification,mra,highly skilled experienced senior data scientist strong background statistical analysis research management analysis manager manager data science global delivery design centre senior data scientist retail consumer insight senior manager gddc senior research analyst senior manager product enhancement snr data scientist channel performance client service manager measurement science lead senior manager snr data scientist channel performance retail consumer insight newsclip medium monitoring nielsen nielsen company ipsos nielsen company unisa monument high monument high unisa bsc statistic psychology mathematics bsc grade general bsc mathematics statistic bsc quantitative research presentation skill research design competitive analysis spotfire statistic business strategy programming microsoft excel competitive intelligence medium monitoring statistical modeling operation management market research market analysis questionnaire design customer insight consumer behaviour marketing research hand training primary research management data analysis microsoft word analytics advertising research leadership management microsoft powerpoint market intelligence analysis segmentation focus group management quantitative analytics qualitative research predictive modeling predictive analytics analytical skill survey design line trainer importing data part introduction python introduction lean six sigma white belt certification mra
senior data analyst standard bank,city johannesburg gauteng south africa,south africa,unknown,data business consultant data scientist data analyst lecturer assistant data scientist senior data analyst supplementary instructor leader,eoh standard bank group nwu vaal nwu vaal bsg,12,north west university noordwes universiteit north west university noordwes universiteit north west university noordwes universiteit,bachelor science computer mathematical science bmi honour degree data mining bmi master science business analytics,unknown,business finance principle practice microsoft certified data analyst associate microsoft certification perform data engineering microsoft azure hdinsight self leadership programme talend data fabric explorer,unknown,senior data analyst standard bank data business consultant data scientist data analyst lecturer assistant data scientist senior data analyst supplementary instructor leader eoh standard bank group nwu vaal nwu vaal bsg north west university noordwes universiteit north west university noordwes universiteit north west university noordwes universiteit bachelor science computer mathematical science bmi honour degree data mining bmi master science business analytics unknown business finance principle practice microsoft certified data analyst associate microsoft certification perform data engineering microsoft azure hdinsight self leadership programme talend data fabric explorer unknown
data scientist sa evangelist educator,city johannesburg gauteng south africa,south africa,broadcast medium,computer lab assistant climatologist weather anchor senior data scientist managing director senior technical training consultant technical training consultant knowledge common senior student assistant senior data specialist weather anchor meteorologist investigator data scientist senior technical consultant online lead weather anchor technical lead founder technical consultant lead technical consultant online weather administrator senior system engineer,university cape town sa billion row saprin south african medical research council enca samrc saprin,16,university cape town university cape town university cape town university cape town stellenbosch business school executive development university cape town university cape town,doctor philosophy phd atmospheric science meteorology bachelor science computer science oceanography atmospheric science honour degree computer science master science atmospheric science meteorology management development programme business administration management general doctor philosophy candidate atmospheric science meteorology doctor philosophy phd atmospheric science meteorology,database matlab java c++ science software development network programming mysql mysql database design microsoft excel climate modeling microsoft office powerpoint oceanography research weather forecasting data analysis microsoft word leadership microsoft powerpoint software engineering tropical cyclone analysis java software development php analytical skill,management sa hackathon participant aws certified cloud practitioner sql learning julia sa certified advanced programmer sa sa trainer management sa trainer good clinical practice management development programme sa trainer sa certified predictive modeler sa enterprise miner sa certified predictive modeler sa enterprise miner transitioning technical professional manager sa certified data integration developer sa sa certified base programmer sa sa expected credit loss cecl solution sa trainer,tripleheight trading pty ltd mvula steel pty ltd hackmi report hackmi social network,data scientist sa evangelist educator computer lab assistant climatologist weather anchor senior data scientist managing director senior technical training consultant technical training consultant knowledge common senior student assistant senior data specialist weather anchor meteorologist investigator data scientist senior technical consultant online lead weather anchor technical lead founder technical consultant lead technical consultant online weather administrator senior system engineer university cape town sa billion row saprin south african medical research council enca samrc saprin university cape town university cape town university cape town university cape town stellenbosch business school executive development university cape town university cape town doctor philosophy phd atmospheric science meteorology bachelor science computer science oceanography atmospheric science honour degree computer science master science atmospheric science meteorology management development programme business administration management general doctor philosophy candidate atmospheric science meteorology doctor philosophy phd atmospheric science meteorology database matlab java c++ science software development network programming mysql mysql database design microsoft excel climate modeling microsoft office powerpoint oceanography research weather forecasting data analysis microsoft word leadership microsoft powerpoint software engineering tropical cyclone analysis java software development php analytical skill management sa hackathon participant aws certified cloud practitioner sql learning julia sa certified advanced programmer sa sa trainer management sa trainer good clinical practice management development programme sa trainer sa certified predictive modeler sa enterprise miner sa certified predictive modeler sa enterprise miner transitioning technical professional manager sa certified data integration developer sa sa certified base programmer sa sa expected credit loss cecl solution sa trainer tripleheight trading pty ltd mvula steel pty ltd hackmi report hackmi social network
data scientist brolltech,city johannesburg gauteng south africa,south africa,real estate,data scientist brolltech performance analyst data analyst data scientist broll tech service delivery analyst graduate trainee associate service delivery analyst,ipd south africa msci inc real estate broll tech broll property group pty ltd south african revenue service sars brolltech,14,nwu potchefstroom,bcom economics law honour economics bcom,microsoft office financial analysis powerpoint strategic planning spss asset management eviews real estate valuation microsoft outlook microsoft word economics microsoft excel,learn sql course,unknown,data scientist brolltech data scientist brolltech performance analyst data analyst data scientist broll tech service delivery analyst graduate trainee associate service delivery analyst ipd south africa msci inc real estate broll tech broll property group pty ltd south african revenue service sars brolltech nwu potchefstroom bcom economics law honour economics bcom microsoft office financial analysis powerpoint strategic planning spss asset management eviews real estate valuation microsoft outlook microsoft word economics microsoft excel learn sql course unknown
head mlops discovery bank,city johannesburg gauteng south africa,south africa,banking,mathematics tutor head machine learning operation head mlops founder interim ceo head product lead data science data scientist product manager mechanical engineering trainee chief technology officer data science lead data analyst product manager industrial engineering intern data tech lead industrial engineering student data scientist founder senior data science consultant undergraduate student researcher undergraduate student designer,anglo american centre experiential learning university witwatersrand cape formerly cape town discovery limited unicollab pty ltd standard bank group kip mcgrath education centre discovery bank moonshop air liquide cape absa group absa anglo american south africa,13,metropolitan raucall university witwatersrand graduate school business university cape town graduate school business university cape town university witwatersrand metropolitan raucall,national senior certificate grade bachelor degree bsc engineering industrial post graduate diploma post graduate diploma management pgdip post graduate diploma post graduate diploma management pgdip bsc engineering industrial matriculated engineering,matlab machine learning python leadership microsoft visio supply chain management autodesk inventor teaching piano playing numerical method microsoft excel business strategy data analysis python microsoft office powerpoint acoustic guitar operation management lean manufacturing business optimisation manufacturing process technology product management operation research system engineering python gui idle management entrepreneurship new venture creation public speaking discrete event simulation simio simul engineering statistic data science library python nltk scikit learn panda numpy,sequence model introduction sap academy accreditation databricks lakehouse fundamental introduction aws non engineer security neural network deep learning introduction aws non engineer cloud concept introduction aws non engineer billing pricing improving deep neural network hyperparameter tuning regularization optimization bsc industrial engineering convolutional neural network aws essential training developer structuring machine learning project named entity recognition lstms kera deep learning specialization introduction aws non engineer core service national senior certificate,unknown,head mlops discovery bank mathematics tutor head machine learning operation head mlops founder interim ceo head product lead data science data scientist product manager mechanical engineering trainee chief technology officer data science lead data analyst product manager industrial engineering intern data tech lead industrial engineering student data scientist founder senior data science consultant undergraduate student researcher undergraduate student designer anglo american centre experiential learning university witwatersrand cape formerly cape town discovery limited unicollab pty ltd standard bank group kip mcgrath education centre discovery bank moonshop air liquide cape absa group absa anglo american south africa metropolitan raucall university witwatersrand graduate school business university cape town graduate school business university cape town university witwatersrand metropolitan raucall national senior certificate grade bachelor degree bsc engineering industrial post graduate diploma post graduate diploma management pgdip post graduate diploma post graduate diploma management pgdip bsc engineering industrial matriculated engineering matlab machine learning python leadership microsoft visio supply chain management autodesk inventor teaching piano playing numerical method microsoft excel business strategy data analysis python microsoft office powerpoint acoustic guitar operation management lean manufacturing business optimisation manufacturing process technology product management operation research system engineering python gui idle management entrepreneurship new venture creation public speaking discrete event simulation simio simul engineering statistic data science library python nltk scikit learn panda numpy sequence model introduction sap academy accreditation databricks lakehouse fundamental introduction aws non engineer security neural network deep learning introduction aws non engineer cloud concept introduction aws non engineer billing pricing improving deep neural network hyperparameter tuning regularization optimization bsc industrial engineering convolutional neural network aws essential training developer structuring machine learning project named entity recognition lstms kera deep learning specialization introduction aws non engineer core service national senior certificate unknown
company driver taxify,city johannesburg gauteng south africa,south africa,unknown,junior data scientist company driver date analyst,pharmasave drug taxify pharmacy wholesaler,5,unknown,unknown,unknown,unknown,unknown,company driver taxify junior data scientist company driver date analyst pharmasave drug taxify pharmacy wholesaler unknown unknown unknown unknown unknown
senior software engineer full stack specialist data science innovator,johannesburg metropolitan area,south africa,unknown,data scientist sofware engineer cloud tutor analytics mobile application tester health patient registration system visit analytics senior software engineer software developer software engineer image processing challenge data scientist senior data scientist student assistant,atechy technology truzo deloitte consulting vimpto resolution circle envisionit deep sand technology rowan mashreq bank council scientific industrial research csir university johannesburg,12,university johannesburg university johannesburg,bachelor engineering beng electrical electronics engineering bachelor science bsc information technology,unknown,google africa challenge scholarship mobile web,intel innovation challange intelligent vision based robot arm,senior software engineer full stack specialist data science innovator data scientist sofware engineer cloud tutor analytics mobile application tester health patient registration system visit analytics senior software engineer software developer software engineer image processing challenge data scientist senior data scientist student assistant atechy technology truzo deloitte consulting vimpto resolution circle envisionit deep sand technology rowan mashreq bank council scientific industrial research csir university johannesburg university johannesburg university johannesburg bachelor engineering beng electrical electronics engineering bachelor science bsc information technology unknown google africa challenge scholarship mobile web intel innovation challange intelligent vision based robot arm
big data mining data visualization data modeling quantitative analysis,city johannesburg gauteng south africa,south africa,financial service,data scientist data reporting analyst data analyst operation manager,waymarketing way marketing rmbc group first federal investment svc rmbc group axon holding,10,university south africa universiteit van suid afrika global association risk professional garp simplilearn alumnus university south africa universiteit van suid afrika university south africa universiteit van suid afrika global association risk professional garp,postgraduate diploma risk management economic management science financial risk management frm level financial risk management master program data science training bachelor degree management science quantitative method postgraduate diploma risk management economic management science financial risk management frm level financial risk management,microsoft office investment business analysis quantitative analytics sa visual basic application vba statistical data analysis data analysis microsoft access data mining sql,unknown,unknown,big data mining data visualization data modeling quantitative analysis data scientist data reporting analyst data analyst operation manager waymarketing way marketing rmbc group first federal investment svc rmbc group axon holding university south africa universiteit van suid afrika global association risk professional garp simplilearn alumnus university south africa universiteit van suid afrika university south africa universiteit van suid afrika global association risk professional garp postgraduate diploma risk management economic management science financial risk management frm level financial risk management master program data science training bachelor degree management science quantitative method postgraduate diploma risk management economic management science financial risk management frm level financial risk management microsoft office investment business analysis quantitative analytics sa visual basic application vba statistical data analysis data analysis microsoft access data mining sql unknown unknown
graduate data scientist fnb,city johannesburg gauteng south africa,south africa,unknown,graduate data scientist,fnb south africa,0,stellenbosch university northland girl high school stellenbosch university,bcom honour financial risk management national senior certificate nsc bachelor pas distinction bcom mathematical science financial risk management,unknown,unknown,unknown,graduate data scientist fnb graduate data scientist fnb south africa stellenbosch university northland girl high school stellenbosch university bcom honour financial risk management national senior certificate nsc bachelor pas distinction bcom mathematical science financial risk management unknown unknown unknown
manager data analytics data scientist toyota south africa,city johannesburg gauteng south africa,south africa,unknown,assistant manager data analytics graduate data analyst data scientist data analyst manager data analytics graduate data engineer assistant manager data analytics,toyota motor corporation pbt group,4,stellenbosch business school university venda science technology university venda science technology university witwatersrand university venda science technology university johannesburg university witwatersrand,management development programme management bsc computer science computer science honor computer science honor computer science msc data science science data science year master commerce business information system business information system phd applied data science business economics msc data science science data science year,unknown,programming foundation database succeeding web development full stack front end programming foundation fundamental,unknown,manager data analytics data scientist toyota south africa assistant manager data analytics graduate data analyst data scientist data analyst manager data analytics graduate data engineer assistant manager data analytics toyota motor corporation pbt group stellenbosch business school university venda science technology university venda science technology university witwatersrand university venda science technology university johannesburg university witwatersrand management development programme management bsc computer science computer science honor computer science honor computer science msc data science science data science year master commerce business information system business information system phd applied data science business economics msc data science science data science year unknown programming foundation database succeeding web development full stack front end programming foundation fundamental unknown
senior data scientist senior quantitative analyst senior scoring analyst phd candidate north west university,city johannesburg gauteng south africa,south africa,unknown,business knowledge graduate analyst quantitative analyst business knowlegde graduate analyst assistant officer business intelligence analyst social medium analyst quantitative analyst data scientist senior quantitative analyst quantitative analyst data scientist student assistant,wesbank cover direct university free state transaction capital recovery cover direct south africa nutun digital republic consulting african bank,9,university free state university free state universiteit van die vrystaat north west university noordwes universiteit exploreai academy university free state universiteit van die vrystaat university free state universiteit van die vrystaat,honour statistical science master degree mathematical statistic risk analysis doctor philosophy phd statistic progress higher certificate data science bachelor degree mathematical statistic probability theory honour statistical science,unknown,unknown,statistical character concentration,senior data scientist senior quantitative analyst senior scoring analyst phd candidate north west university business knowledge graduate analyst quantitative analyst business knowlegde graduate analyst assistant officer business intelligence analyst social medium analyst quantitative analyst data scientist senior quantitative analyst quantitative analyst data scientist student assistant wesbank cover direct university free state transaction capital recovery cover direct south africa nutun digital republic consulting african bank university free state university free state universiteit van die vrystaat north west university noordwes universiteit exploreai academy university free state universiteit van die vrystaat university free state universiteit van die vrystaat honour statistical science master degree mathematical statistic risk analysis doctor philosophy phd statistic progress higher certificate data science bachelor degree mathematical statistic probability theory honour statistical science unknown unknown statistical character concentration
database developer data scientist specializing data analysis back end software development actuarial skill seeking representation,johannesburg gauteng south africa,south africa,unknown,data scientist database developer actuarial intern,outsurance king price insurance thoroughtec simulation,7,university pretoria universiteit van pretoria,bachelor science actuarial science,unknown,unknown,unknown,database developer data scientist specializing data analysis back end software development actuarial skill seeking representation data scientist database developer actuarial intern outsurance king price insurance thoroughtec simulation university pretoria universiteit van pretoria bachelor science actuarial science unknown unknown unknown
